Country,Title,Type,Category,Frequency,Owner (group),Publisher,Ad Sales,Location / Note,Circulation,Country,Vertical,Audience,B2B/B2C,Reach,Format,Native fit,Tags,URL,URL_status
NO,Bergens Tidende,Avis,Regional,Daglig,Schibsted,Bergens Tidende AS,Schibsted Marketing Services (SMS),Bergen,89533,NO,News (Regional),Regional consumer,B2C,Regional,Print + Digital,Medium,circulation-reported,https://www.bt.no,VERIFIED
NO,Bergensavisen (BA),Avis,Regional,Daglig,Amedia,BA Media AS,Amedia Salg,Bergen,27815,NO,News (Regional),Regional consumer,B2C,Regional,Print + Digital,Medium,circulation-reported,https://www.ba.no,VERIFIED
NO,Birkenes-Avisa,Avis,Lokal,Ukentlig,Selvstendig,Birkenes-Avisa,Direkte hos utgiver,Birkenes,,NO,News (Local),Regional consumer,B2C,Local,Print + Digital,Medium,,https://birkenes-avisa.no,VERIFIED
NO,Bladet (Malvik),Avis,Lokal,Flere ganger ukentlig,Polaris Media,Bladet AS,Polaris Media Salg / SMS (samarbeid),Malvik,,NO,News (Local),Regional consumer,B2C,Local,Print + Digital,Medium,,https://www.bladet.no,VERIFIED
NO,Bladet Vesterålen,Avis,Regional,Daglig,Selvstendig,Bladet Vesterålen AS,Direkte hos utgiver,Sortland,,NO,News (Regional),Regional consumer,B2C,Regional,Print + Digital,Medium,,https://blv.no,VERIFIED
NO,Brønnøysunds Avis,Avis,Regional,Daglig,Amedia,Brønnøysunds Avis AS,Amedia Salg,Brønnøysund,,NO,News (Regional),Regional consumer,B2C,Regional,Print + Digital,Medium,,https://www.banett.no,VERIFIED
NO,Budstikka,Avis,Regional,Daglig,Selvstendig,Asker og Bærums Budstikke ASA,Direkte hos utgiver,Asker/Bærum,22762,NO,News (Regional),Regional consumer,B2C,Regional,Print + Digital,Medium,circulation-reported,https://budstikka.no,VERIFIED
NO,Bygdabladet Randaberg og Rennesøy,Avis,Lokal,Ukentlig,Selvstendig,Bygdabladet AS,Direkte hos utgiver,Randaberg,,NO,News (Local),Regional consumer,B2C,Local,Print + Digital,Medium,,https://www.bygdabladet.no,VERIFIED
NO,Bygdanytt,Avis,Lokal,Flere ganger ukentlig,Polaris Media,Bygdanytt AS,Polaris Media Salg / SMS (samarbeid),Indre Arna (51% Polaris/49% Schibsted),,NO,News (Local),Regional consumer,B2C,Local,Print + Digital,Medium,,https://www.bygdanytt.no,VERIFIED
NO,Bygdebladet,Avis,Lokal,Ukentlig,Selvstendig,Bygdebladet AS,Direkte hos utgiver,Strand/Hjelmeland,,NO,News (Local),Regional consumer,B2C,Local,Print + Digital,Medium,,https://bygdebladet.no,VERIFIED
NO,Bygdeposten,Avis,Lokal,Flere ganger ukentlig,Amedia,Bygdeposten AS,Amedia Salg,Vikersund,6744,NO,News (Local),Regional consumer,B2C,Local,Print + Digital,Medium,circulation-reported,https://bygdeposten.no,VERIFIED
NO,Bø Blad,Avis,Lokal,Ukentlig,Selvstendig,Bø Blad,Direkte hos utgiver,Bø i Telemark,,NO,News (Local),Regional consumer,B2C,Local,Print + Digital,Medium,,https://www.boblad.no,VERIFIED
NO,Bømlo-Nytt,Avis,Lokal,Flere ganger ukentlig,Selvstendig,Bømlo-Nytt AS,Direkte hos utgiver,Bømlo,,NO,News (Local),Regional consumer,B2C,Local,Print + Digital,Medium,,https://www.bomlo-nytt.no,VERIFIED
NO,Dag og Tid,Avis,Politikk/kultur,Ukentlig,Selvstendig,Dag og Tid AS,Direkte hos utgiver,Nynorsk,13758,NO,Politics & Current Affairs,General consumer,B2C,National,Print + Digital,High,circulation-reported,https://www.dagogtid.no,VERIFIED
NO,Dagbladet,Avis,Tabloid riks,Daglig,Aller Media,Dagbladet AS,Aller Media Annonsesalg,Oslo,110092,NO,News (National Tabloid),Mass market consumer,B2C,National,Print + Digital,High,"circulation-reported, high-circulation",https://www.dagbladet.no,VERIFIED
NO,Dagen,Avis,Kristen riks,Daglig,Selvstendig,Dagen Mediér AS,Direkte hos utgiver,Konservativt kristen,15611,NO,Religion,Religious (Christian),B2C,National,Print + Digital,Medium,"circulation-reported, conservative",https://www.dagen.no,VERIFIED
NO,Dagens Næringsliv,Avis,Næringsliv riks,Daglig,NHST Media Group,DN AS,NHST Media Salg,Næringsliv,94094,NO,Business & Finance,General consumer,B2C,National,Print + Digital,High,circulation-reported,https://www.dn.no,VERIFIED
NO,Dagsavisen,Avis,Riks,Daglig,Mentor Medier,Stiftelsen Dagsavisen,Mentor Medier Salg,Sosialdemokratisk,20787,NO,News (National),General consumer,B2C,National,Print + Digital,Medium,"circulation-reported, social-democratic",https://www.dagsavisen.no,VERIFIED
NO,Dalane Tidende,Avis,Regional,2x ukentlig,Schibsted,Dalane Tidende AS,Schibsted Marketing Services (SMS),Egersund,,NO,News (Regional),Regional consumer,B2C,Regional,Print + Digital,Medium,,https://dalanetidende.no,VERIFIED
NO,Document,Avis,Politikk,Digital,Selvstendig,Document Forlag,Direkte hos utgiver,Konservativ,,NO,Politics & Current Affairs,General consumer,B2C,National,Digital,High,conservative,https://www.document.no,VERIFIED
NO,Drammens Tidende,Avis,Regional,Daglig,Amedia,Drammens Tidende AS,Amedia Salg,Drammen,27373,NO,News (Regional),Regional consumer,B2C,Regional,Print + Digital,Medium,circulation-reported,https://drammenstidende.no,VERIFIED
NO,Drangedalsposten,Avis,Lokal,Ukentlig,Selvstendig,Drangedalsposten AS,Direkte hos utgiver,Drangedal,,NO,News (Local),Regional consumer,B2C,Local,Print + Digital,Medium,,https://drangedalsposten.no,VERIFIED
NO,Driva,Avis,Lokal,2x ukentlig,Selvstendig,Driva-Trykk AS,Direkte hos utgiver,Sunndal/Surnadal,,NO,News (Local),Regional consumer,B2C,Local,Print + Digital,Medium,,https://www.driva.no,VERIFIED
NO,Dølen,Avis,Lokal,Ukentlig,Selvstendig,Dølen AS,Direkte hos utgiver,Vinstra,,NO,News (Local),Regional consumer,B2C,Local,Print + Digital,Medium,,https://www.dolen.no,VERIFIED
NO,E24,Avis,Næringsliv digital,Digital,Schibsted,E24 AS,Schibsted Marketing Services (SMS),Næringsliv,,NO,News (General),General consumer,B2C,National,Digital,High,,https://e24.no,VERIFIED
NO,Eidsvoll Ullensaker Blad,Avis,Regional,Flere ganger ukentlig,Amedia,EUB AS,Amedia Salg,Eidsvoll,,NO,News (Regional),Regional consumer,B2C,Regional,Print + Digital,Medium,,https://www.eub.no,VERIFIED
NO,Eikerbladet,Avis,Lokal,Ukentlig,Amedia,Eikerbladet AS,Amedia Salg,Hokksund,,NO,News (Local),Regional consumer,B2C,Local,Print + Digital,Medium,,https://eikerbladet.no,VERIFIED
NO,Enebakk Avis,Avis,Lokal,Ukentlig,Selvstendig,Enebakk Avis AS,Direkte hos utgiver,Enebakk,,NO,News (Local),Regional consumer,B2C,Local,Print + Digital,Medium,,https://enebakkavis.no,VERIFIED
NO,Europower,Avis,Energi,Periodisk,NHST Media Group,NHST Media AS,NHST Media Salg,Energimarked,,NO,B2B – Energy & Utilities,Energy industry pros,B2B,National,Print + Digital,High,,https://www.europower.no,VERIFIED
NO,Faktisk.no,Avis,Faktasjekk,Digital,Selvstendig,Aftenposten/VG/NRK/Dagbladet/TV 2,Direkte hos utgiver,Faktasjekk,,NO,News (General),General consumer,B2C,National,Digital,Medium,,https://www.faktisk.no,VERIFIED
NO,Fanaposten,Avis,Lokal,2x ukentlig,Selvstendig,Fanaposten AS,Direkte hos utgiver,Fana,,NO,News (Local),Regional consumer,B2C,Local,Print + Digital,Medium,,https://fanaposten.no,VERIFIED
NO,Filter Nyheter,Avis,Undersøkende,Digital,Selvstendig,Filter AS,Direkte hos utgiver,Undersøkende,,NO,News (General),General consumer,B2C,National,Digital,Medium,,https://www.filternyheter.no,VERIFIED
NO,Finansavisen,Avis,Næringsliv riks,Daglig,Hegnar Media,Hegnar Media AS,Hegnar Media Salg,Finans,30870,NO,News (National),Affluent 35+ (luxury),B2C,National,Print + Digital,Medium,circulation-reported,https://www.finansavisen.no,VERIFIED
NO,Finnmark Dagblad,Avis,Regional,Daglig,Amedia,Finnmark Dagblad AS,Amedia Salg,Hammerfest,7727,NO,News (Regional),Regional consumer,B2C,Regional,Print + Digital,Medium,circulation-reported,https://finnmarkdagblad.no,VERIFIED
NO,Finnmarken,Avis,Regional,Daglig,Amedia,Finnmarken AS,Amedia Salg,Vadsø,6411,NO,News (Regional),Regional consumer,B2C,Regional,Print + Digital,Medium,circulation-reported,https://finnmarken.no,VERIFIED
NO,Finnmarksposten,Avis,Lokal,Flere ganger ukentlig,Amedia,Finnmarksposten AS,Amedia Salg,Honningsvåg,,NO,News (Local),Regional consumer,B2C,Local,Print + Digital,Medium,,https://finnmarksposten.no,VERIFIED
NO,Firda,Avis,Regional,Daglig,Amedia,Firda AS,Amedia Salg,Førde,11298,NO,News (Regional),Regional consumer,B2C,Regional,Print + Digital,Medium,circulation-reported,https://firda.no,VERIFIED
NO,Firda Tidend,Avis,Lokal,2x ukentlig,Selvstendig,Avisdrift Gloppen AS,Direkte hos utgiver,Sandane,,NO,News (Local),Regional consumer,B2C,Local,Print + Digital,Medium,,https://www.firdatidend.no,VERIFIED
NO,Firdaposten,Avis,Lokal,2x ukentlig,Amedia,Firdaposten AS,Amedia Salg,Florø,,NO,News (Local),Regional consumer,B2C,Local,Print + Digital,Medium,,https://firdaposten.no,VERIFIED
NO,Fiskeribladet,Avis,Fiskeri,3x ukentlig,NHST Media Group,NHST Media AS,A2 Media AS,Fiskeri,8500,NO,B2B – Maritime,Fishery industry pros,B2B,National,Print + Digital,High,circulation-reported,https://www.fiskeribladet.no,VERIFIED
NO,Fjell-Ljom,Avis,Lokal,Ukentlig,Selvstendig,Fjell-Ljom AS,Direkte hos utgiver,Røros,,NO,Outdoor & Adventure,Outdoor enthusiasts,B2C,Local,Print + Digital,Medium,,https://www.fjell-ljom.no,VERIFIED
NO,Fjordabladet,Avis,Lokal,2x ukentlig,Selvstendig,Fjordabladet AS,Direkte hos utgiver,Nordfjordeid,3172,NO,News (Local),Regional consumer,B2C,Local,Print + Digital,Medium,circulation-reported,https://www.fjordabladet.no,VERIFIED
NO,Fjordenes Tidende,Avis,Lokal,2x ukentlig,Amedia,Fjordenes Tidende AS,Amedia Salg,Måløy,4635,NO,News (Local),Regional consumer,B2C,Local,Print + Digital,Medium,circulation-reported,https://www.fjt.no,VERIFIED
NO,Fjordingen,Avis,Lokal,2x ukentlig,Amedia,Fjordingen AS,Amedia Salg,Stryn,3902,NO,News (Local),Regional consumer,B2C,Local,Print + Digital,Medium,circulation-reported,https://www.fjordingen.no,VERIFIED
NO,Fjuken,Avis,Lokal,Ukentlig,Selvstendig,Skjåk Mediautvikling AS,Direkte hos utgiver,Bismo,,NO,News (Local),Regional consumer,B2C,Local,Print + Digital,Medium,,https://www.fjuken.no,VERIFIED
NO,FlatangerNytt,Avis,Lokal,Månedlig,Selvstendig,Flatanger Nytt,Direkte hos utgiver,Flatanger,,NO,News (Local),Regional consumer,B2C,Local,Print + Digital,Medium,,https://www.flatangernytt.no,VERIFIED
NO,Forskning.no,Avis,Vitenskap,Digital,Selvstendig,UH-sektor,Direkte hos utgiver,Populærvitenskap,,NO,Science,General consumer,B2C,National,Digital,High,,https://www.forskning.no,VERIFIED
NO,Fosna-Folket,Avis,Lokal,Flere ganger ukentlig,Polaris Media,Fosna-Folket AS,Polaris Media Salg / SMS (samarbeid),Brekstad,,NO,News (Local),Regional consumer,B2C,Local,Print + Digital,Medium,,https://www.fosna-folket.no,VERIFIED
NO,Framtid i nord,Avis,Regional,2x ukentlig,Amedia,Framtid i nord AS,Amedia Salg,Olderdalen,,NO,News (Regional),Regional consumer,B2C,Regional,Print + Digital,Medium,,https://www.framtidinord.no,VERIFIED
NO,Fredriksstad Blad,Avis,Regional,Daglig,Amedia,Fredriksstad Blad AS,Amedia Salg,Fredrikstad,23058,NO,News (Regional),Regional consumer,B2C,Regional,Print + Digital,Medium,circulation-reported,https://www.f-b.no,VERIFIED
NO,Fremover,Avis,Regional,Daglig,Amedia,Fremover AS,Amedia Salg,Narvik,7542,NO,News (Regional),Regional consumer,B2C,Regional,Print + Digital,Medium,circulation-reported,https://www.fremover.no,VERIFIED
NO,Friheten,Avis,Politikk,Ukentlig,Selvstendig,Norges Kommunistiske Parti,Direkte hos utgiver,Kommunistisk,,NO,Politics & Current Affairs,General consumer,B2C,National,Print + Digital,High,socialist,https://www.friheten.no,VERIFIED
NO,Frolendingen,Avis,Lokal,Ukentlig,Selvstendig,Frolendingen,Direkte hos utgiver,Froland,,NO,News (Local),Regional consumer,B2C,Local,Print + Digital,Medium,,https://www.frolendingen.no,VERIFIED
NO,Frostingen,Avis,Lokal,Ukentlig,Selvstendig,Frostingen,Direkte hos utgiver,Frosta,,NO,News (Local),Regional consumer,B2C,Local,Print + Digital,Medium,,https://frostingen.no,VERIFIED
NO,Fædrelandsvennen,Avis,Regional,Daglig,Polaris Media,Fædrelandsvennen AS,Polaris Media Salg / SMS (samarbeid),Kristiansand,37261,NO,News (Regional),Regional consumer,B2C,Regional,Print + Digital,Medium,circulation-reported,https://www.fvn.no,VERIFIED
NO,geita.no,Avis,Lokal,Digital,Selvstendig,geita.no,Direkte hos utgiver,Bjerkreim,,NO,News (Local),Regional consumer,B2C,Local,Digital,Medium,,https://www.geita.no,VERIFIED
NO,Gjesdalbuen,Avis,Lokal,Ukentlig,Selvstendig,Gjesdalbuen AS,Direkte hos utgiver,Gjesdal,,NO,News (Local),Regional consumer,B2C,Local,Print + Digital,Medium,,https://gjesdalbuen.no,VERIFIED
NO,Glåmdalen,Avis,Regional,Daglig,Amedia,Glåmdalen AS,Amedia Salg,Kongsvinger,14307,NO,News (Regional),Regional consumer,B2C,Regional,Print + Digital,Medium,circulation-reported,https://glamdalen.no,VERIFIED
NO,Grannar,Avis,Lokal,Flere ganger ukentlig,Selvstendig,Grannar AS,Direkte hos utgiver,Ølen,,NO,News (Local),Regional consumer,B2C,Local,Print + Digital,Medium,,https://www.grannar.no,VERIFIED
NO,Grenda,Avis,Lokal,Ukentlig,Selvstendig,Grenda AS,Direkte hos utgiver,Rosendal,,NO,News (Local),Regional consumer,B2C,Local,Print + Digital,Medium,,https://www.grenda.no,VERIFIED
NO,Grimstad Adressetidende,Avis,Lokal,Flere ganger ukentlig,Amedia,Grimstad Adressetidende AS,Amedia Salg,Grimstad,,NO,News (Local),Regional consumer,B2C,Local,Print + Digital,Medium,,https://www.gat.no,VERIFIED
NO,Gudbrandsdølen Dagningen,Avis,Regional,Daglig,Amedia,GD AS,Amedia Salg,Lillehammer,22685,NO,News (Regional),Regional consumer,B2C,Regional,Print + Digital,Medium,circulation-reported,https://www.gudbrandsdolen.no,VERIFIED
NO,Hadeland,Avis,Regional,Flere ganger ukentlig,Amedia,Hadeland AS,Amedia Salg,Brandbu,7115,NO,News (Regional),Regional consumer,B2C,Regional,Print + Digital,Medium,circulation-reported,https://hadeland.no,VERIFIED
NO,Halden Arbeiderblad,Avis,Regional,Daglig,Amedia,Halden Arbeiderblad AS,Amedia Salg,Halden,8252,NO,News (Regional),Regional consumer,B2C,Regional,Print + Digital,Medium,circulation-reported,https://haldenarbeiderblad.no,VERIFIED
NO,Hallingdølen,Avis,Regional,Flere ganger ukentlig,Selvstendig,Hallingdølen AS,Direkte hos utgiver,Ål,10755,NO,News (Regional),Regional consumer,B2C,Regional,Print + Digital,Medium,circulation-reported,https://www.hallingdolen.no,VERIFIED
NO,Hamar Arbeiderblad,Avis,Regional,Daglig,Amedia,Hamar Arbeiderblad AS,Amedia Salg,Hamar,20027,NO,News (Regional),Regional consumer,B2C,Regional,Print + Digital,Medium,circulation-reported,https://hamararbeiderblad.no,VERIFIED
NO,Hammerfestingen,Avis,Lokal,Ukentlig,Selvstendig,Hammerfestingen,Direkte hos utgiver,Hammerfest,,NO,News (Local),Regional consumer,B2C,Local,Print + Digital,Medium,,https://hammerfestingen.no,VERIFIED
NO,Haramsnytt,Avis,Lokal,Ukentlig,Selvstendig,Haramsnytt,Direkte hos utgiver,Haram,,NO,News (Local),Regional consumer,B2C,Local,Print + Digital,Medium,,https://www.haramsnytt.no,VERIFIED
NO,Hardanger Folkeblad,Avis,Regional,Flere ganger ukentlig,Amedia,Hardanger Folkeblad AS,Amedia Salg,Odda,5303,NO,News (Regional),Regional consumer,B2C,Regional,Print + Digital,Medium,circulation-reported,https://www.hf.no,VERIFIED
NO,Harstad Tidende,Avis,Regional,Daglig,Polaris Media,Harstad Tidende AS,Polaris Media Salg / SMS (samarbeid),Harstad,8893,NO,News (Regional),Regional consumer,B2C,Regional,Print + Digital,Medium,circulation-reported,https://www.ht.no,VERIFIED
NO,Haugesunds Avis,Avis,Regional,Daglig,Amedia,Haugesunds Avis AS,Amedia Salg,Haugesund,21187,NO,News (Regional),Regional consumer,B2C,Regional,Print + Digital,Medium,circulation-reported,https://haugesunds-avis.no,VERIFIED
NO,Helgelands Blad,Avis,Regional,Flere ganger ukentlig,Amedia,Helgelands Blad AS,Amedia Salg,Sandnessjøen,,NO,News (Regional),Regional consumer,B2C,Regional,Print + Digital,Medium,,https://helgelandsblad.no,VERIFIED
NO,Helgelendingen,Avis,Regional,Daglig,Amedia,Helgelendingen AS,Amedia Salg,Mosjøen,,NO,News (Regional),Regional consumer,B2C,Regional,Print + Digital,Medium,,https://www.helg.no,VERIFIED
NO,Hitra-Frøya,Avis,Lokal,Flere ganger ukentlig,Polaris Media,Hitra-Frøya AS,Polaris Media Salg / SMS (samarbeid),Hitra,,NO,News (Local),Regional consumer,B2C,Local,Print + Digital,Medium,,https://www.hitra-froya.no,VERIFIED
NO,Hordaland,Avis,Regional,Flere ganger ukentlig,Selvstendig,Hordaland AS,Direkte hos utgiver,Voss,,NO,News (Regional),Regional consumer,B2C,Regional,Print + Digital,Medium,,,LIKELY_OK
NO,Hordaland Folkeblad,Avis,Lokal,Flere ganger ukentlig,Amedia,Hordaland Folkeblad AS,Amedia Salg,Norheimsund,,NO,News (Local),Regional consumer,B2C,Local,Print + Digital,Medium,,https://www.hfb.no,LIKELY_OK
NO,iHarstad,Avis,Lokal,Digital,Polaris Media,Polaris Media Nord,Polaris Media Salg / SMS (samarbeid),Harstad,,NO,News (Local),Regional consumer,B2C,Local,Digital,Medium,,https://iharstad.no,VERIFIED
NO,iLevanger,Avis,Lokal,Digital,Polaris Media,Polaris Media Trønder,Polaris Media Salg / SMS (samarbeid),Levanger,,NO,News (Local),Regional consumer,B2C,Local,Digital,Medium,,https://ilevanger.no,VERIFIED
NO,Inderøyningen,Avis,Lokal,Ukentlig,Selvstendig,Inderøyningen,Direkte hos utgiver,Inderøy,,NO,News (Local),Regional consumer,B2C,Local,Print + Digital,Medium,,https://inderoyningen.no,VERIFIED
NO,Indre Akershus Blad,Avis,Regional,Flere ganger ukentlig,Amedia,Indre Akershus Blad AS,Amedia Salg,Bjørkelangen,,NO,News (Regional),Regional consumer,B2C,Regional,Print + Digital,Medium,,https://indre.no,VERIFIED
NO,Innherred,Avis,Regional,Flere ganger ukentlig,Polaris Media,Polaris Media Trønder,Polaris Media Salg / SMS (samarbeid),Verdal/Levanger,,NO,News (Regional),Regional consumer,B2C,Regional,Print + Digital,Medium,,https://www.innherred.no,VERIFIED
NO,Intrafish,Avis,Fiskeri,Digital,NHST Media Group,NHST Media AS,NHST Media Salg,Fiskeri internasjonal,,NO,B2B – Maritime,Fishery industry pros (international),B2B,National,Digital,High,,https://www.intrafish.no,VERIFIED
NO,iTromsø,Avis,Regional,Daglig,Polaris Media,Polaris Media Nord,Polaris Media Salg / SMS (samarbeid),Tromsø,8590,NO,News (Regional),Regional consumer,B2C,Regional,Print + Digital,Medium,circulation-reported,https://www.itromso.no,VERIFIED
NO,Jarlsberg Avis,Avis,Lokal,Flere ganger ukentlig,Amedia,Jarlsberg AS,Amedia Salg,Holmestrand,,NO,News (Local),Regional consumer,B2C,Local,Print + Digital,Medium,,https://www.jarlsberg.no,LIKELY_OK
NO,Jærbladet,Avis,Regional,Flere ganger ukentlig,Schibsted,Jærbladet AS,Schibsted Marketing Services (SMS),Bryne,12971,NO,News (Regional),Regional consumer,B2C,Regional,Print + Digital,Medium,circulation-reported,https://www.jbl.no,VERIFIED
NO,Kanalen,Avis,Lokal,Ukentlig,Selvstendig,Kanalen AS,Direkte hos utgiver,Ulefoss,,NO,News (Local),Regional consumer,B2C,Local,Print + Digital,Medium,,https://www.kanalen.no,VERIFIED
NO,Karmøynytt,Avis,Lokal,Digital,Selvstendig,Karmøynytt,Direkte hos utgiver,Karmøy,,NO,News (Local),Regional consumer,B2C,Local,Digital,Medium,,https://karmoynytt.no,VERIFIED
NO,Khrono,Avis,UH-sektor,Digital,Selvstendig,OsloMet,Direkte hos utgiver,Universitet og høgskole,,NO,News (Higher Education),Higher education community,B2B,National,Digital,High,,https://www.khrono.no,VERIFIED
NO,Khrono Forskning,Avis,UH-sektor,Digital,Selvstendig,OsloMet,Direkte hos utgiver,Forskning,,NO,News (Higher Education),Researchers,B2B,National,Digital,High,,https://www.khrono.no,VERIFIED
NO,Klar Tale,Avis,Lettlest,Ukentlig,Selvstendig,Stiftelsen Klar Tale,Direkte hos utgiver,Lettlest,,NO,News (General),General consumer,B2C,National,Print + Digital,Medium,,https://www.klartale.no,VERIFIED
NO,Klassekampen,Avis,Politikk riks,Daglig,Selvstendig,Klassekampen AS,Direkte hos utgiver,Sosialistisk,33265,NO,Politics & Current Affairs,General consumer,B2C,National,Print + Digital,High,circulation-reported,https://www.klassekampen.no,VERIFIED
NO,Klæbuposten,Avis,Lokal,Ukentlig,Selvstendig,Klæbuposten,Direkte hos utgiver,Klæbu,,NO,News (Local),Regional consumer,B2C,Local,Print + Digital,Medium,,https://www.klebuposten.no,VERIFIED
NO,Kragerø Blad Vestmar,Avis,Lokal,Flere ganger ukentlig,Amedia,Kragerø Blad AS,Amedia Salg,Kragerø,,NO,News (Local),Regional consumer,B2C,Local,Print + Digital,Medium,,https://www.kv.no,VERIFIED
NO,Kronstadposten,Avis,Lokal,Ukentlig,Selvstendig,Kronstadposten,Direkte hos utgiver,Bergen,,NO,News (Local),Regional consumer,B2C,Local,Print + Digital,Medium,,https://www.kronstadposten.no,LIKELY_OK
NO,Kulingen,Avis,Lokal,Ukentlig,Selvstendig,Kulingen,Direkte hos utgiver,Træna,,NO,News (Local),Regional consumer,B2C,Local,Print + Digital,Medium,,https://www.kulingen.no,VERIFIED
NO,Kvinnheringen,Avis,Lokal,Flere ganger ukentlig,Amedia,Kvinnheringen AS,Amedia Salg,Husnes,,NO,News (Local),Regional consumer,B2C,Local,Print + Digital,Medium,,https://www.kvinnheringen.no,VERIFIED
NO,Kyst og Fjord,Avis,Regional,Ukentlig,Selvstendig,Kyst og Fjord AS,Direkte hos utgiver,Kjøllefjord,,NO,News (Regional),Regional consumer,B2C,Regional,Print + Digital,Medium,,https://www.kystogfjord.no,VERIFIED
NO,Laagendalsposten,Avis,Regional,Flere ganger ukentlig,Amedia,Laagendalsposten AS,Amedia Salg,Kongsberg,9159,NO,News (Regional),Regional consumer,B2C,Regional,Print + Digital,Medium,circulation-reported,https://laagendalsposten.no,VERIFIED
NO,Lierposten,Avis,Lokal,Ukentlig,Amedia,Lierposten AS,Amedia Salg,Lier,,NO,News (Local),Regional consumer,B2C,Local,Print + Digital,Medium,,https://lierposten.no,VERIFIED
